sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.02,0.5,10,indep,multi,2000,1.0574649155765679,1.0249380625207352,1.0249380625207352,1.0317354328473627,1.0317354328473627,-0.008270975616889656
0.02,0.5,20,chained,single,2000,0.15930976018501083,0.7247406543046133,0.1620569369082791,0.21981623252233326,0.9830480769556745,0.0015494368991164624
0.02,0.5,20,chained,multi,2000,0.7086872121908527,0.7247406543046133,0.7247406543046132,0.9778493975487496,0.9778493975487497,0.02040562967429582
0.02,0.5,20,indep,single,2000,0.7169210398894984,0.7247406543046133,0.7247406543046133,0.9892104653317428,0.9892104653317428,0.012774582090661936
0.02,0.5,20,indep,multi,2000,0.7242114041772355,0.7247406543046133,0.7247406543046133,0.9992697385965114,0.9992697385965114,0.007116004378006701
0.02,0.5,50,chained,single,2000,0.06572114562510568,0.4583662361046586,0.06482277476331164,0.14338129741759512,1.0138588769930672,-0.00047003376291681383
0.02,0.5,50,chained,multi,2000,0.4496456989865692,0.4583662361046586,0.4583662361046586,0.9809747393433703,0.9809747393433703,0.018503291031917595
0.02,0.5,50,indep,single,2000,0.450836169966053,0.4583662361046586,0.4583662361046586,0.9835719441235496,0.9835719441235496,0.01303103420600904
0.02,0.5,50,indep,multi,2000,0.45075188205814554,0.4583662361046586,0.4583662361046586,0.9833880564344742,0.9833880564344742,0.003929964812534887
0.02,0.5,100,chained,single,2000,0.03342865238294048,0.3241138738165582,0.03241138738165582,0.103138603692912,1.03138603692912,-0.001156915229358176
0.02,0.5,100,chained,multi,2000,0.3255543271781306,0.3241138738165582,0.3241138738165582,1.004444281710655,1.004444281710655,0.012039148117001925
0.02,0.5,100,indep,single,2000,0.3254910133986127,0.3241138738165582,0.3241138738165582,1.0042489374670642,1.0042489374670642,0.00410596408427047
0.02,0.5,100,indep,multi,2000,0.32467104333000435,0.3241138738165582,0.3241138738165582,1.0017190548089945,1.0017190548089945,0.004477477146116463
0.02,1.0,1,chained,single,2000,1.627452987097328,1.620569369082791,1.620569369082791,1.004247654031887,1.004247654031887,-0.05569637643266029
0.02,1.0,1,chained,multi,2000,1.6480850834844336,1.620569369082791,1.620569369082791,1.016979041395319,1.016979041395319,0.024028871601039718
0.02,1.0,1,indep,single,2000,1.631501845167962,1.620569369082791,1.620569369082791,1.0067460710375875,1.0067460710375875,-0.04961038749051708
0.02,1.0,1,indep,multi,2000,1.5640884243656532,1.620569369082791,1.620569369082791,0.965147468664606,0.965147468664606,0.01116451381116602
0.02,1.0,2,chained,single,2000,0.8114868479153884,1.1459155902616465,0.8102846845413955,0.7081558666377006,1.001483630873109,0.020464751601500082
0.02,1.0,2,chained,multi,2000,1.1173574417822918,1.1459155902616465,1.1459155902616465,0.9750783140380924,0.9750783140380924,0.001411741388432571
0.02,1.0,2,indep,single,2000,1.1263070541016684,1.1459155902616465,1.1459155902616465,0.9828883241256008,0.9828883241256008,-0.013934859465789142
0.02,1.0,2,indep,multi,2000,1.1633254013703085,1.1459155902616465,1.1459155902616465,1.0151929262998218,1.0151929262998218,0.004636769355997057
0.02,1.0,5,chained,single,2000,0.3173679151375718,0.7247406543046133,0.3241138738165582,0.43790549523137406,0.9791864550580625,-0.005889588229457443
0.02,1.0,5,chained,multi,2000,0.7292158783477916,0.7247406543046133,0.7247406543046132,1.0061749317036344,1.0061749317036344,0.004842996446976548
0.02,1.0,5,indep,single,2000,0.7376337834606053,0.7247406543046133,0.7247406543046133,1.0177899902253487,1.0177899902253487,0.003721022847658234
0.02,1.0,5,indep,multi,2000,0.7385428626725413,0.7247406543046133,0.7247406543046133,1.0190443412908459,1.0190443412908459,-0.0138225328851285
0.02,1.0,10,chained,single,2000,0.16355366201195792,0.5124690312603676,0.1620569369082791,0.3191483817270161,1.0092357978142332,0.002973684053000858
0.02,1.0,10,chained,multi,2000,0.5235799349212915,0.5124690312603676,0.5124690312603676,1.0216811221423425,1.0216811221423425,-0.0009133189931271022
0.02,1.0,10,indep,single,2000,0.5109212245613357,0.5124690312603676,0.5124690312603676,0.9969797068610661,0.9969797068610661,-0.008409312514450904
0.02,1.0,10,indep,multi,2000,0.5039379932110681,0.5124690312603676,0.5124690312603676,0.9833530661778368,0.9833530661778368,0.012020344460945515
